Razão_Social;geom;Data_de_Ativação
POSTO RETIRO DOS BANDEIRANTES LTDA;-42.74936383871803,-22.735580569743473;10/2004
POSTO PRATA DE TERESOPOLIS LTDA;-42.950497,-22.4158144;10/2004
POSTO VILARINHO DA PRATA LTDA;-42.9504974,-22.415815099999993;10/2004
LUBRIFICAÇAO BARRO VERMELHO LTDA;-43.34668880000001,-22.852456600000018;10/2004
LUBRIFICAÇAO TECNICA LUBRITEC LTDA;-43.337317500000005,-22.879721700000005;10/2004
LUCAGIMA COMERCIO DE COMBUSTIVEIS LTDA.;-43.30123210000001,-22.710564400000017;05/2008
LUCAS E JUNIOR TRANSPORTADORA LTDA EPP;-43.4849067,-22.850770800000006;02/2011
LUCAS HADIJA COMERCIO DE GAS LTDA.;-43.30687280000001,-22.724917600000012;07/2010
LUCIANO REISSWITZ DA SILVA GAS;-43.3832287,-22.7994521;04/2010
LUCIVAN GÁS LTDA ME;-43.29964780000001,-22.763767100000003;02/2013
Luft Transportes Rodoviarios Ltda;-43.29617820000001,-22.6666951;06/2013
LUGÁS COMÉRCIO DE GÁS LTDA.;-43.190280800000004,-22.117967099999998;09/2005
LUIZ CARLOS MARQUES SANTANA DISTRIBUIDORA DE GÁS;-43.3363409,-22.764976000000015;04/2010
LUIZ ROBERTO BARBOSA FERREIRA - DEPÓSITO DE GÁS;-43.3436268,-22.82308370000002;06/2008
LUIZ VIEIRA COMERCIO DE PETROLEO LTDA;-41.3248144,-21.754217299999997;09/2004
LUMAR COMÉRCIO DE GÁS LTDA;-43.2965296,-22.757657900000012;03/2011
LUMIAR COMBUSTÍVEIS E MATERIAIS DE CONSTRUÇÃO LTDA.;-42.486198300000005,-22.32740300000001;10/2004
LUTAN COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO GLP LTDA ME;-43.081399600000005,-22.834231200000012;04/2012
M. & M. RIO  COMERCIO DEW COMBUSTÍVEIS LTDA.;-43.254350599999995,-22.926240800000013;04/2010
M. A. DE JESUS LIMA REVENDA DE GÁS;-43.010526600000006,-22.839015600000003;03/2010
M. A. DE SOUZA COMÉRCIO DE GÁS;-41.68013080000001,-21.1254059;06/2011
